alias,quiz_title,earned_points,total_points_available
Marianna,Multiple-choice quiz | Coding basics,12,15
Marianna,Multiple-choice quiz | Coding basics,11,15
Tyrone,Multiple-choice quiz | Coding basics,12,15
Marianna,Multiple-choice quiz | The RStudio IDE,7,10
Oscar,Multiple-choice quiz | Coding basics,12,15
Oscar,Multiple-choice quiz | The RStudio IDE,10,10
Marianna,Multiple-choice quiz | Installing R and RStudio,3,3
Rose,Multiple-choice quiz | Coding basics,13,15
Rita,Multiple-choice quiz | Coding basics,14,15
Rita,Multiple-choice quiz | Coding basics,11,15
Tyrone,Multiple-choice quiz | Coding basics,11,15
Afet,Multiple-choice quiz | Installing R and RStudio,3,3
Afet,Multiple-choice quiz | Installing R and RStudio,2,3
Rose,Multiple-choice quiz | Coding basics,10,15
Jayden,Multiple-choice quiz | Coding basics,15,15
Jayden,Multiple-choice quiz | The RStudio IDE,9,10
Jayden,Multiple-choice quiz | Installing R and RStudio,3,3
Lena,Multiple-choice quiz | The RStudio IDE,8,10
Grace,Multiple-choice quiz | Coding basics,13,15
Grace,Multiple-choice quiz | Coding basics,11,15
Grace,Multiple-choice quiz | The RStudio IDE,9,10
Grace,Multiple-choice quiz | Installing R and RStudio,3,3
Tyrone,Multiple-choice quiz | The RStudio IDE,8,10
Tyrone,Multiple-choice quiz | The RStudio IDE,7,10
Tyrone,Multiple-choice quiz | Installing R and RStudio,3,3
Guneet,Multiple-choice quiz | Coding basics,14,15
Santana,Multiple-choice quiz | Coding basics,13,15
Joel,Multiple-choice quiz | Coding basics,15,15
Joel,Multiple-choice quiz | Coding basics,14,15
Joel,Multiple-choice quiz | Coding basics,14,15
Joel,Multiple-choice quiz | Coding basics,14,15
Joel,Multiple-choice quiz | Coding basics,12,15
Arlene,Multiple-choice quiz | Installing R and RStudio,3,3
Arlene,Multiple-choice quiz | Installing R and RStudio,2,3
Arlene,Multiple-choice quiz | The RStudio IDE,9,10
Arlene,Multiple-choice quiz | The RStudio IDE,7,10
Flávia,Multiple-choice quiz | Coding basics,15,15
Mathieu,Multiple-choice quiz | Coding basics,12,15
Mathieu,Multiple-choice quiz | Coding basics,7,15
Guneet,Multiple-choice quiz | The RStudio IDE,9,10
Anđela,Multiple-choice quiz | Coding basics,14,15
Anđela,Multiple-choice quiz | The RStudio IDE,9,10
